,Location1,Location,WindGustDir1,WindGustDir,WindDir9am1,WindDir9am,WindDir3pm1,WindDir3pm
0,2,Albury,13,W,13,W,14,WNW
1,2,Albury,14,WNW,6,NNW,15,WSW
2,2,Albury,15,WSW,13,W,15,WSW
3,2,Albury,4,NE,9,SE,0,E
4,2,Albury,13,W,1,ENE,7,NW
5,2,Albury,14,WNW,13,W,13,W
6,2,Albury,13,W,12,SW,13,W
7,2,Albury,13,W,10,SSE,13,W
8,2,Albury,6,NNW,9,SE,7,NW
9,2,Albury,13,W,8,S,10,SSE
10,2,Albury,3,N,10,SSE,2,ESE
11,2,Albury,5,NNE,4,NE,1,ENE
12,2,Albury,13,W,6,NNW,6,NNW
13,2,Albury,12,SW,13,W,11,SSW
14,2,Albury,16,,8,S,14,WNW
15,2,Albury,14,WNW,16,,14,WNW
16,2,Albury,1,ENE,11,SSW,0,E
17,2,Albury,13,W,3,N,14,WNW
18,2,Albury,10,SSE,15,WSW,12,SW
19,2,Albury,10,SSE,9,SE,6,NNW
20,2,Albury,8,S,9,SE,9,SE
21,2,Albury,4,NE,4,NE,3,N
23,2,Albury,3,N,2,ESE,7,NW
24,2,Albury,13,W,0,E,13,W
25,2,Albury,15,WSW,9,SE,15,WSW
26,2,Albury,15,WSW,16,,13,W
27,2,Albury,14,WNW,3,N,14,WNW
28,2,Albury,14,WNW,7,NW,15,WSW
29,2,Albury,14,WNW,15,WSW,12,SW
30,2,Albury,13,W,14,WNW,14,WNW
31,2,Albury,14,WNW,13,W,14,WNW
32,2,Albury,13,W,15,WSW,11,SSW
33,2,Albury,10,SSE,10,SSE,0,E
34,2,Albury,14,WNW,10,SSE,7,NW
35,2,Albury,14,WNW,1,ENE,7,NW
36,2,Albury,13,W,9,SE,14,WNW
38,2,Albury,13,W,13,W,15,WSW
39,2,Albury,4,NE,10,SSE,8,S
40,2,Albury,4,NE,5,NNE,0,E
41,2,Albury,8,S,10,SSE,3,N
42,2,Albury,12,SW,9,SE,15,WSW
44,2,Albury,7,NW,10,SSE,11,SSW
46,2,Albury,12,SW,15,WSW,12,SW
47,2,Albury,9,SE,9,SE,12,SW
48,2,Albury,14,WNW,1,ENE,11,SSW
49,2,Albury,14,WNW,10,SSE,5,NNE
50,2,Albury,6,NNW,10,SSE,14,WNW
51,2,Albury,6,NNW,4,NE,15,WSW
52,2,Albury,7,NW,3,N,6,NNW
53,2,Albury,14,WNW,8,S,7,NW
54,2,Albury,13,W,13,W,13,W
55,2,Albury,15,WSW,2,ESE,10,SSE
56,2,Albury,8,S,10,SSE,15,WSW
57,2,Albury,5,NNE,9,SE,6,NNW
58,2,Albury,3,N,0,E,5,NNE
59,2,Albury,12,SW,2,ESE,8,S
60,2,Albury,5,NNE,2,ESE,9,SE
61,2,Albury,2,ESE,2,ESE,12,SW
62,2,Albury,12,SW,9,SE,0,E
63,2,Albury,12,SW,4,NE,7,NW
64,2,Albury,16,,3,N,16,
65,2,Albury,16,,16,,16,
66,2,Albury,15,WSW,10,SSE,8,S
67,2,Albury,13,W,9,SE,13,W
69,2,Albury,7,NW,3,N,13,W
70,2,Albury,9,SE,12,SW,15,WSW
71,2,Albury,10,SSE,10,SSE,9,SE
73,2,Albury,9,SE,10,SSE,4,NE
