,Column,Min,Max,Mean,SD
0,Date,1.0,12.0,6.4,3.43
1,Location,0.0,48.0,23.79,14.23
2,MinTemp,-8.5,33.9,12.18,6.37
3,MaxTemp,-4.8,48.1,23.19,7.09
4,Rainfall,0.0,371.0,2.31,8.39
5,Evaporation,-6.75,145.0,5.14,3.71
6,Sunshine,-4.96,18.02,7.52,3.36
7,WindGustSpeed,6.0,135.0,39.68,13.18
8,WindSpeed9am,0.0,130.0,13.98,8.88
9,WindSpeed3pm,0.0,87.0,18.54,8.75
10,Humidity9am,0.0,100.0,69.43,19.28
11,Humidity3pm,0.0,100.0,51.55,20.47
12,Pressure9am,980.5,1041.0,1017.52,6.74
13,Pressure3pm,977.1,1039.6,1015.26,6.66
14,Temp9am,-7.2,40.2,16.99,6.45
15,Temp3pm,-5.4,46.7,21.64,6.86
